,abalone_number,Intercept,umol.L.sec,Temp.C
1,ab1_hw_channel10_Trial1_posthw_11_24_20_O2,191.4465816,-0.00499708,21.13640217
2,ab1_hw_channel10_trial5_final_12_12_20_O2,197.6408989,-0.00679268,17.4871978
3,ab1_hw_channel3_Trial11_prehw_10_30_20_O2,176.8898442,-0.004852255,17.57106977
4,ab10_hw_channel9_Trial6_prehw_10_30_20_O2,206.1812789,-0.009085234,17.43980233
5,ab11_hw_channel3_Trial5_posthw_11_25_20_O2,187.4885446,-0.005616071,21.12773786
6,ab11_hw_channel3_Trial5_prehw_10_29_20_O2,190.611524,-0.006836066,17.60840506
7,ab12_amb_channel10_Trial3_prehw_10_29_20_O2,189.9744898,-0.00929812,17.62540964
8,ab12_amb_channel2_Trial4_posthw_11_24_20_O2,206.7527765,-0.014655256,17.39183908
9,ab12_amb_channel7_trial4_final_12_11_20_O2,173.4556776,-0.016687587,17.48179518
10,ab13_hw_channel3_Trial6_prehw_10_30_20_O2,183.9106162,-0.009966731,17.62212791
11,ab14_amb_channel6_trial4_final_12_11_20_O2,172.9829295,-0.01030481,17.39543373
12,ab14_amb_channel7_Trial5_prehw_10_29_20_O2,185.8739586,-0.009752576,17.57138462
13,ab14_amb_channel7_Trial7_posthw_11_25_20_O2,194.6984102,-0.009752696,17.58058407
14,ab15_hw_channel7_Trial8_prehw_10_30_20_O2,187.1284474,-0.011057863,17.58131707
15,ab16_hw_channel10_Trial4_prehw_10_29_20_O2,200.114554,-0.008500177,17.52055172
16,ab17_hw_channel1_trial1_final_12_11_20_O2,227.1240563,-0.008552724,17.39147126
17,ab17_hw_channel5_Trial2_posthw_11_24_20_O2,206.3063071,-0.007381106,20.99662963
18,ab17_hw_channel8_Trial9_prehw_10_30_20_O2,202.295678,-0.010139342,17.53464198
19,ab18_amb_channel1_Trial7_posthw_11_25_20_O2,217.1144214,-0.014042777,17.47824779
20,ab18_amb_channel3_trial3_final_12_11_20_O2,189.6653898,-0.013959205,17.44509195
21,ab18_amb_channel5_Trial5_prehw_10_29_20_O2,202.6384814,-0.011505657,17.43065385
22,ab19_amb_channel1_Trial8_prehw_10_30_20_O2,212.9224534,-0.010657081,17.58730864
23,ab19_amb_channel3_Trial8_posthw_11_25_20_O2,195.7598753,-0.008367533,17.5439441
24,ab19_amb_channel7_trial6_final_12_12_20_O2,192.1362622,-0.009694406,17.54856075
25,ab2_hw_channel3_Trial1_posthw_11_24_20_O2,186.5287217,-0.007492154,21.22635644
26,ab2_hw_channel3_trial5_final_12_12_20_O2,195.3927729,-0.010526475,17.52434066
27,ab2_hw_channel7_Trial9_prehw_10_30_20_O2,182.009919,-0.007726549,17.63535
28,ab20_hw_channel3_Trial2_posthw_11_24_20_O2,185.9176682,-0.008811979,21.29751852
29,ab20_hw_channel4_trial2_final_12_11_20_O2,224.3630963,-0.014950078,17.42552941
30,ab20_hw_channel9_Trial3_prehw_10_29_20_O2,208.3213076,-0.011495073,17.44668675
31,ab21_amb_channel2_Trial10_prehw_10_30_20_O2,189.5469955,-0.006522515,17.53655319
32,ab21_amb_channel7_trial7_final_12_12_20_O2,198.1420856,-0.009230419,17.46947525
33,ab21_amb_channel7_Trial9_posthw_11_25_20_O2,183.6661182,-0.007669151,17.61970526
34,ab22_hw_channel10_Trial7_prehw_10_30_20_O2,175.5879144,-0.015646612,17.57651724
35,ab22_hw_channel5_trial5_final_12_12_20_O2,202.8675824,-0.013945141,17.33748352
36,ab22_hw_channel5_Trial5_posthw_11_25_20_O2,205.3311137,-0.01165563,20.91529126
37,ab23_hw_channel3_trial1_final_12_11_20_O2,192.9883938,-0.006896964,17.39524138
38,ab23_hw_channel5_Trial1_posthw_11_24_20_O2,212.1529739,-0.005958906,21.00243564
39,ab23_hw_channel5_Trial1_prehw_10_29_20_O2,219.9679739,-0.007876126,17.33503797
40,ab24_hw_channel6_Trial8_prehw_10_30_20_O2,165.5863678,-0.01331856,17.55716049
41,ab24_hw_channel7_trial1_final_12_11_20_O2,183.0194239,-0.01282675,17.40626437
42,ab24_hw_channel9_Trial5_posthw_11_25_20_O2,205.8757469,-0.013968919,21.1088932
43,ab25_amb_channel2_Trial3_posthw_11_24_20_O2,214.2540451,-0.013093876,17.41134951
44,ab25_amb_channel7_Trial11_prehw_10_30_20_O2,169.7301461,-0.007729882,17.55730233
45,ab25_amb_channel9_trial4_final_12_11_20_O2,203.5613473,-0.013204109,17.30421687
46,ab26_amb_channel3_trial6_final_12_12_20_O2,196.3495796,-0.01155037,17.43941121
47,ab26_amb_channel4_Trial8_posthw_11_25_20_O2,219.2588151,-0.006473436,17.41636095
48,ab26_amb_channel6_Trial7_prehw_10_30_20_O2,169.4151265,-0.010203376,17.55595402
49,ab27_amb_channel1_Trial4_prehw_10_29_20_O2,209.4017279,-0.008353259,17.56758427
50,ab27_amb_channel8_Trial4_posthw_11_24_20_O2,222.3126908,-0.009142679,17.48241379
51,ab27_amb_channel9_trial7_final_12_12_20_O2,216.8633109,-0.010668628,17.30588542
52,ab28_hw_channel4_Trial9_prehw_10_30_20_O2,180.3060667,-0.010751178,17.50475309
53,ab29_amb_channel1_Trial4_posthw_11_24_20_O2,223.0834656,-0.009352843,17.40102299
54,ab29_amb_channel2_Trial4_prehw_10_29_20_O2,203.8230662,-0.007451746,17.54314607
55,ab29_amb_channel7_trial8_final_12_12_20_O2,195.478288,-0.007949076,17.44351938
56,ab3_amb_channel1_trial7_final_12_12_20_O2,217.0422837,-0.021713683,17.48652128
57,ab3_amb_channel2_Trial9_posthw_11_25_20_O2,180.1975644,-0.015602632,17.45141053
58,ab3_amb_channel9_Trial10_prehw_10_30_20_O2,174.7540179,-0.014707766,17.40747312
59,ab30_amb_channel10_trial3_final_12_11_20_O2,195.9104422,-0.014051894,17.38360494
60,ab30_amb_channel10_Trial6_prehw_10_30_20_O2,196.1359845,-0.00620052,17.56515294
61,ab30_amb_channel4_Trial7_posthw_11_25_20_O2,217.2501968,-0.011991225,17.33588496
62,ab31_amb_channel1_Trial8_posthw_11_25_20_O2,164.9819556,-0.024752249,17.40387578
63,ab31_amb_channel10_trial6_final_12_12_20_O2,165.4048953,-0.044627294,17.48725
64,ab31_amb_channel5_Trial8_prehw_10_30_20_O2,154.7289304,-0.029398014,17.46555556
65,ab32_hw_channel7_Trial3_prehw_10_29_20_O2,130.5325965,-0.025873414,17.60637349
66,ab33_amb_channel3_trial7_final_12_12_20_O2,158.1280527,-0.032661163,17.57293617
67,ab33_amb_channel5_Trial11_prehw_10_30_20_O2,136.6173445,-0.026074834,17.3517907
68,ab33_amb_channel7_Trial3_posthw_11_24_20_O2,172.4804929,-0.022448964,17.353
69,ab34_amb_channel2_trial8_final_12_12_20_O2,126.3173474,-0.02624794,17.46704065
70,ab34_amb_channel5_Trial7_posthw_11_25_20_O2,202.1689661,-0.029369144,17.47270796
71,ab34_amb_channel9_Trial5_prehw_10_29_20_O2,169.2890825,-0.034526313,17.44289744
72,ab35_amb_channel4_Trial4_prehw_10_29_20_O2,154.8414592,-0.026492927,17.51055056
73,ab35_amb_channel4_trial8_final_12_12_20_O2,153.2882509,-0.028046604,17.47637705
74,ab35_amb_channel6_Trial4_posthw_11_24_20_O2,171.492739,-0.024745353,17.37021839
75,ab36_amb_channel3_Trial9_prehw_10_30_20_O2,118.6162293,-0.024836533,17.60574074
76,ab36_amb_channel4_Trial9_posthw_11_25_20_O2,154.4694648,-0.023167173,17.41931579
77,ab36_amb_channel6_trial6_final_12_12_20_O2,161.4175391,-0.038869214,17.4516729
78,ab37_amb_channel1_Trial5_prehw_10_29_20_O2,170.872508,-0.027369743,17.54237975
79,ab37_amb_channel3_Trial7_posthw_11_25_20_O2,188.4813699,-0.031932925,17.50274336
80,ab37_amb_channel6_trial3_final_12_11_20_O2,162.3862167,-0.037763136,17.36053409
81,ab38_hw_channel1_Trial6_posthw_11_25_20_O2,206.185615,-0.020695004,21.14356098
82,ab38_hw_channel3_Trial7_prehw_10_30_20_O2,140.3765969,-0.028942378,17.61888506
83,ab39_hw_channel1_Trial2_posthw_11_24_20_O2,190.8634589,-0.021462208,21.23891358
84,ab39_hw_channel8_Trial10_prehw_10_30_20_O2,168.602575,-0.027213691,17.51118085
85,ab39_hw_channel9_trial1_final_12_11_20_O2,202.9646548,-0.02158778,17.3331954
86,ab4_hw_channel2_Trial1_prehw_10_29_20_O2,211.8538637,-0.01262087,17.45665823
87,ab40_hw_channel2_Trial11_prehw_10_30_20_O2,132.7602559,-0.02980438,17.48842529
88,ab40_hw_channel4_trial1_final_12_11_20_O2,188.0092481,-0.029451023,17.36248276
89,ab40_hw_channel9_Trial2_posthw_11_24_20_O2,170.6388077,-0.02949328,21.09983951
90,ab41_hw_channel4_Trial1_posthw_11_24_20_O2,203.0945522,-0.02344305,21.12077228
91,ab41_hw_channel4_Trial1_prehw_10_29_20_O2,184.1971416,-0.03184547,17.39335443
92,ab41_hw_channel7_trial2_final_12_11_20_O2,173.1031285,-0.033004527,17.42938095
93,ab42_amb_channel6_Trial4_prehw_10_29_20_O2,134.5049321,-0.026023854,17.53111236
94,ab42_amb_channel9_trial3_final_12_11_20_O2,170.471443,-0.048731088,17.2627037
95,ab42_amb_channel9_Trial4_posthw_11_24_20_O2,179.9275274,-0.036908949,17.3402069
96,ab43_hw_channel10_Trial5_posthw_11_25_20_O2,195.0444442,-0.030057898,21.10022549
97,ab43_hw_channel7_Trial6_prehw_10_30_20_O2,161.4996606,-0.025189762,17.53745349
98,ab43_hw_channel9_trial5_final_12_12_20_O2,177.039333,-0.038081263,17.34356044
99,ab44_hw_channel4_Trial10_prehw_10_30_20_O2,132.4140405,-0.026544138,17.46895745
100,ab45_hw_channel6_Trial9_prehw_10_30_20_O2,104.9325384,-0.020391959,17.5275875
101,ab45_hw_channel8_Trial1_posthw_11_24_20_O2,201.9966002,-0.018396522,21.12823711
102,ab46_amb_channel4_trial4_final_12_11_20_O2,151.569935,-0.036113642,17.41039759
103,ab46_amb_channel8_Trial4_prehw_10_29_20_O2,151.5029507,-0.028887253,17.56024719
104,ab46_amb_channel8_Trial9_posthw_11_25_20_O2,165.2570847,-0.026159374,17.49556842
105,ab47_amb_channel10_trial7_final_12_12_20_O2,159.9074387,-0.043766218,17.52750526
106,ab47_amb_channel5_Trial7_prehw_10_30_20_O2,149.0473569,-0.031229499,17.39273563
107,ab47_amb_channel9_Trial7_posthw_11_25_20_O2,186.7124553,-0.027290093,17.384
108,ab48_amb_channel3_Trial8_prehw_10_30_20_O2,144.1148174,-0.025916251,17.62122222
109,ab48_amb_channel4_Trial4_posthw_11_24_20_O2,200.4910144,-0.031171864,17.34165517
110,ab48_amb_channel5_trial4_final_12_11_20_O2,167.7585871,-0.034388677,17.29690361
111,ab49_amb_channel1_Trial9_posthw_11_25_20_O2,123.1645026,-0.023868238,17.4692
112,ab49_amb_channel10_Trial10_prehw_10_30_20_O2,137.5984086,-0.030746495,17.54993478
113,ab49_amb_channel4_trial7_final_12_12_20_O2,166.9606561,-0.045750166,17.47545745
114,ab5_amb_channel10_trial8_final_12_12_20_O2,200.2457815,-0.010377414,17.47182443
115,ab5_amb_channel4_Trial11_prehw_10_30_20_O2,201.1387414,-0.010824061,17.5235
116,ab5_amb_channel9_Trial3_posthw_11_24_20_O2,206.5926355,-0.012347841,17.32416667
117,ab50_amb_channel1_trial6_final_12_12_20_O2,167.7791104,-0.050386364,17.457
118,ab50_amb_channel3_Trial3_posthw_11_24_20_O2,182.3630158,-0.026916347,17.40969903
119,ab50_amb_channel8_Trial1_prehw_10_29_20_O2,200.165338,-0.045012155,17.49529114
120,ab51_hw_channel10_Trial1_prehw_10_29_20_O2,195.4467536,-0.030134839,17.45872152
121,ab52_hw_channel1_Trial6_prehw_10_30_20_O2,169.1272057,-0.034675754,17.52340698
122,ab52_hw_channel6_trial5_final_12_12_20_O2,148.2518008,-0.029925006,17.43547253
123,ab52_hw_channel8_Trial5_posthw_11_25_20_O2,192.5873604,-0.024151786,21.21384466
124,ab53_hw_channel8_Trial6_prehw_10_30_20_O2,185.8183144,-0.039026423,17.48201163
125,ab54_hw_channel8_Trial5_prehw_10_29_20_O2,194.4302653,-0.025693692,17.53197436
126,ab55_hw_channel1_Trial5_posthw_11_25_20_O2,200.5619172,-0.032042399,20.99445192
127,ab55_hw_channel10_trial1_final_12_11_20_O2,147.2635652,-0.034991039,17.39678161
128,ab55_hw_channel5_Trial9_prehw_10_30_20_O2,118.4206298,-0.026496505,17.39296296
129,ab56_amb_channel1_Trial7_prehw_10_30_20_O2,136.7013602,-0.025610575,17.6043908
130,ab56_amb_channel5_trial3_final_12_11_20_O2,204.0920798,-0.037266745,17.25352273
131,ab56_amb_channel5_Trial8_posthw_11_25_20_O2,242.9793824,-0.035445016,17.27998758
132,ab57_amb_channel3_Trial3_prehw_10_29_20_O2,96.14055034,-0.017981931,17.61095238
133,ab57_amb_channel4_Trial3_posthw_11_24_20_O2,195.6398158,-0.024142939,17.46231959
134,ab57_amb_channel9_trial8_final_12_12_20_O2,159.7437002,-0.035114591,17.38473171
135,ab58_hw_channel9_Trial1_posthw_11_24_20_O2,198.8005287,-0.008863542,21.06881915
136,ab58_hw_channel9_Trial11_prehw_10_30_20_O2,132.902372,-0.021143576,17.3457093
137,ab59_amb_channel1_trial4_final_12_11_20_O2,150.105516,-0.03866327,17.45053012
138,ab59_amb_channel4_Trial8_prehw_10_30_20_O2,167.5581797,-0.031569032,17.57366667
139,ab59_amb_channel6_Trial8_posthw_11_25_20_O2,170.0774416,-0.020688091,17.37920497
140,ab6_amb_channel10_Trial9_posthw_11_25_20_O2,183.5198731,-0.013629488,17.65921277
141,ab6_amb_channel7_Trial10_prehw_10_30_20_O2,165.9590704,-0.009251357,17.5626383
142,ab6_amb_channel8_trial3_final_12_11_20_O2,218.4898708,-0.020229914,17.36622472
143,ab60_hw_channel2_Trial2_posthw_11_24_20_O2,178.8498661,-0.025054238,21.2062963
144,ab60_hw_channel2_Trial3_prehw_10_29_20_O2,139.7257529,-0.018319029,17.52245882
145,ab60_hw_channel4_trial5_final_12_12_20_O2,190.8887498,-0.025435609,17.44996703
146,ab61_hw_channel5_Trial10_prehw_10_30_20_O2,76.13896667,-0.023803839,17.3422766
147,ab61_hw_channel6_Trial1_posthw_11_24_20_O2,117.7579078,-0.02416322,21.239125
148,ab62_amb_channel1_Trial10_prehw_10_30_20_O2,54.54368971,-0.018783866,17.56446809
149,ab62_amb_channel3_trial4_final_12_11_20_O2,116.4192163,-0.053814663,17.54051807
150,ab62_amb_channel3_Trial9_posthw_11_25_20_O2,63.85085036,-0.020823832,17.50276842
151,ab63_amb_channel2_Trial6_prehw_10_30_20_O2,97.09010582,-0.041029716,17.51781395
152,ab63_amb_channel2_Trial7_posthw_11_25_20_O2,145.624226,-0.037128094,17.50490265
153,ab63_amb_channel5_trial8_final_12_12_20_O2,96.88871568,-0.034942901,17.42346721
154,ab64_amb_channel2_Trial7_prehw_10_30_20_O2,63.55936927,-0.027982786,17.55935632
155,ab64_amb_channel6_trial7_final_12_12_20_O2,156.2564697,-0.051621025,17.47182105
156,ab64_amb_channel8_Trial7_posthw_11_25_20_O2,160.2600048,-0.042493105,17.52447788
157,ab65_hw_channel4_Trial3_prehw_10_29_20_O2,27.21222214,-0.009247928,17.53175
158,ab66_amb_channel10_Trial7_posthw_11_25_20_O2,142.2127704,-0.032920651,17.47415044
159,ab66_amb_channel2_trial6_final_12_12_20_O2,166.1689318,-0.067976518,17.50111215
160,ab66_amb_channel6_Trial5_prehw_10_29_20_O2,92.02367975,-0.036534254,17.44079487
161,ab67_hw_channel1_Trial9_prehw_10_30_20_O2,60.47351449,-0.017685923,17.538
162,ab68_amb_channel1_Trial1_prehw_10_29_20_O2,167.576359,-0.056309038,17.44440506
163,ab68_amb_channel2_trial3_final_12_11_20_O2,133.2832632,-0.043468815,17.3652625
164,ab68_amb_channel5_Trial3_posthw_11_24_20_O2,150.9738744,-0.041415467,17.39936458
165,ab69_amb_channel1_Trial3_posthw_11_24_20_O2,114.1324956,-0.032927611,17.45197938
166,ab69_amb_channel2_trial7_final_12_12_20_O2,127.3350921,-0.042773692,17.45291489
167,ab69_amb_channel8_Trial11_prehw_10_30_20_O2,66.58455834,-0.024504711,17.50923256
168,ab7_amb_channel1_trial8_final_12_12_20_O2,231.3618096,-0.012953932,17.44496875
169,ab7_amb_channel7_Trial7_prehw_10_30_20_O2,195.2203759,-0.009957184,17.63844828
170,ab7_amb_channel7_Trial8_posthw_11_25_20_O2,187.742272,-0.00959358,17.48104969
171,ab70_hw_channel2_Trial9_prehw_10_30_20_O2,100.2653798,-0.04819581,17.51848148
172,ab70_hw_channel7_trial5_final_12_12_20_O2,121.7180478,-0.046491292,17.55151648
173,ab70_hw_channel8_Trial2_posthw_11_24_20_O2,148.954885,-0.054919327,21.1948642
174,ab71_hw_channel1_Trial1_posthw_11_24_20_O2,184.967117,-0.035490502,21.25945745
175,ab71_hw_channel8_trial1_final_12_11_20_O2,107.3751879,-0.04040568,17.39250575
176,ab71_hw_channel9_Trial1_prehw_10_29_20_O2,154.0894201,-0.052080985,17.32292405
177,ab72_hw_channel4_Trial6_posthw_11_25_20_O2,204.9334533,-0.013201462,21.11591463
178,ab72_hw_channel5_Trial6_prehw_10_30_20_O2,86.8393392,-0.027546741,17.41572093
179,ab73_amb_channel1_Trial3_prehw_10_29_20_O2,25.07910968,-0.006745694,17.54680233
180,ab73_amb_channel3_Trial4_posthw_11_24_20_O2,140.709372,-0.042294071,17.42987356
181,ab73_amb_channel8_trial8_final_12_12_20_O2,70.16829292,-0.023667007,17.50550407
182,ab74_amb_channel10_Trial5_prehw_10_29_20_O2,112.9127996,-0.04977758,17.57360256
183,ab74_amb_channel4_trial6_final_12_12_20_O2,175.7691554,-0.064504553,17.50231776
184,ab74_amb_channel5_Trial4_posthw_11_24_20_O2,150.4825724,-0.051654197,17.36063218
185,ab75_hw_channel5_trial1_final_12_11_20_O2,174.0100135,-0.065452889,17.30286207
186,ab75_hw_channel6_Trial2_posthw_11_24_20_O2,130.2829214,-0.032633554,21.08062963
187,ab75_hw_channel9_Trial4_prehw_10_29_20_O2,74.85164409,-0.024893103,17.47020225
188,ab76_amb_channel2_trial4_final_12_11_20_O2,72.42796393,-0.042267069,17.44873494
189,ab76_amb_channel3_Trial4_prehw_10_29_20_O2,57.82686798,-0.024105541,17.59995506
190,ab76_amb_channel7_Trial4_posthw_11_24_20_O2,151.3729449,-0.047106388,17.45304598
191,ab77_hw_channel3_Trial1_prehw_10_29_20_O2,147.1122834,-0.059849769,17.50258228
192,ab78_hw_channel1_Trial11_prehw_10_30_20_O2,78.14212661,-0.03017333,17.51190805
193,ab78_hw_channel7_Trial1_posthw_11_24_20_O2,173.1446746,-0.011011698,21.2625625
194,ab79_amb_channel3_Trial10_prehw_10_30_20_O2,74.20322045,-0.023976066,17.54023404
195,ab79_amb_channel6_Trial9_posthw_11_25_20_O2,84.92320632,-0.026608201,17.57942105
196,ab79_amb_channel7_trial3_final_12_11_20_O2,163.6180472,-0.062246261,17.51361364
197,ab8_hw_channel10_trial2_final_12_11_20_O2,198.0058235,-0.01456179,17.39837647
198,ab8_hw_channel7_Trial2_posthw_11_24_20_O2,179.107416,-0.011161519,21.19987654
199,ab8_hw_channel8_Trial3_prehw_10_29_20_O2,199.9512986,-0.013275195,17.59873494
200,ab80_hw_channel10_Trial2_posthw_11_24_20_O2,126.224585,-0.029717422,21.223575
201,ab80_hw_channel5_Trial3_prehw_10_29_20_O2,67.58335673,-0.021261561,17.40661905
202,ab81_amb_channel10_Trial8_prehw_10_30_20_O2,77.64472465,-0.026625014,17.57676543
203,ab81_amb_channel8_trial4_final_12_11_20_O2,178.4244319,-0.068291581,17.45119277
204,ab81_amb_channel9_Trial8_posthw_11_25_20_O2,217.8055104,-0.056404112,17.30213665
205,ab82_hw_channel2_Trial5_posthw_11_25_20_O2,144.6966863,-0.033091735,21.04241346
206,ab82_hw_channel4_Trial7_prehw_10_30_20_O2,52.18297297,-0.017779908,17.57183908
207,ab82_hw_channel8_trial5_final_12_12_20_O2,118.6973845,-0.046656347,17.45437363
208,ab83_amb_channel3_trial8_final_12_12_20_O2,63.01633783,-0.01910749,17.53259016
209,ab83_amb_channel5_Trial9_posthw_11_25_20_O2,84.47589142,-0.03010558,17.30248421
210,ab83_amb_channel9_Trial9_prehw_10_30_20_O2,49.62634729,-0.016545362,17.43445679
211,ab84_hw_channel2_trial1_final_12_11_20_O2,122.5185746,-0.058233132,17.40810345
212,ab84_hw_channel2_Trial6_posthw_11_25_20_O2,159.9808701,-0.048488823,21.11973171
213,ab84_hw_channel9_Trial7_prehw_10_30_20_O2,60.56218757,-0.020276719,17.48048276
214,ab85_amb_channel10_Trial11_prehw_10_30_20_O2,79.96828493,-0.030165898,17.3402
215,ab85_amb_channel5_trial7_final_12_12_20_O2,116.1097392,-0.045097121,17.39348421
216,ab85_amb_channel6_Trial3_posthw_11_24_20_O2,106.6769841,-0.041278175,17.51563542
217,ab86_hw_channel4_Trial5_prehw_10_29_20_O2,88.50506955,-0.029481182,17.54037179
218,ab86_hw_channel6_Trial5_posthw_11_25_20_O2,179.7286384,-0.007897404,21.04995146
219,ab87_amb_channel10_Trial8_posthw_11_25_20_O2,121.2847322,-0.035646324,17.31324845
220,ab87_amb_channel2_Trial8_prehw_10_30_20_O2,83.88582687,-0.03029203,17.56711111
221,ab87_amb_channel5_trial6_final_12_12_20_O2,160.5563813,-0.056054164,17.35588785
222,ab88_amb_channel1_trial3_final_12_11_20_O2,137.3450567,-0.069623237,17.377725
223,ab88_amb_channel2_Trial8_posthw_11_25_20_O2,200.3085447,-0.066112728,17.37227329
224,ab88_amb_channel9_Trial8_prehw_10_30_20_O2,55.02670899,-0.023589847,17.46202469
225,ab89_hw_channel4_Trial5_posthw_11_25_20_O2,205.9671961,-0.023460212,21.16180583
226,ab89_hw_channel7_Trial4_prehw_10_29_20_O2,147.4384418,-0.046721976,17.60234831
227,ab9_amb_channel6_Trial1_prehw_10_29_20_O2,187.2400415,-0.005426285,17.47012658
228,ab9_amb_channel8_Trial3_posthw_11_24_20_O2,226.4200943,-0.008310692,17.49708911
229,ab9_amb_channel8_trial6_final_12_12_20_O2,231.4940596,-0.010197073,17.38795327
230,ab90_hw_channel4_Trial6_prehw_10_30_20_O2,89.92466742,-0.031766204,17.51822093
231,blank_amb_channel10_Trial3_posthw_11_24_20_O2,212.6819269,-0.001193245,17.4385
232,blank_amb_channel10_trial4_final_12_11_20_O2,206.8165361,-0.000315277,17.42308434
233,blank_amb_channel10_Trial4_posthw_11_24_20_O2,209.4661142,-0.000685482,17.43482558
234,blank_amb_channel4_trial3_final_12_11_20_O2,228.8195952,-0.000304505,17.34503448
235,blank_amb_channel6_Trial7_posthw_11_25_20_O2,189.0391375,-0.000648273,17.54982301
236,blank_amb_channel6_trial8_final_12_12_20_O2,180.4605089,-0.000830287,17.44280488
237,blank_amb_channel8_trial7_final_12_12_20_O2,227.6336218,-0.000673546,17.51449474
238,blank_amb_channel8_Trial8_posthw_11_25_20_O2,226.4411812,-0.001403509,17.3378323
239,blank_amb_channel9_trial6_final_12_12_20_O2,219.5062339,-0.000483395,17.29864486
240,blank_amb_channel9_Trial9_posthw_11_25_20_O2,214.8753166,-0.002478426,17.56504211
241,blank_hw_channel10_Trial9_prehw_10_30_20_O2,190.7124204,-0.000993793,17.53059259
242,blank_hw_channel2_Trial5_prehw_10_29_20_O2,221.9997009,-0.000545144,17.55465823
243,blank_amb_channel5_Trial4_prehw_10_29_20_O2,225.3848688,-0.000417029,17.39830337
244,blank_hw_channel6_Trial10_prehw_10_30_20_O2,172.5197708,-0.001256805,17.49437234
245,blank_amb_channel6_Trial11_prehw_10_30_20_O2,176.2434502,-0.000908773,17.51193023
246,blank_hw_channel6_Trial3_prehw_10_29_20_O2,191.6607548,2.74E-06,17.5605
247,blank_amb_channel6_Trial6_prehw_10_30_20_O2,188.5851093,-0.001081513,17.43744186
248,blank_amb_channel7_Trial1_prehw_10_29_20_O2,202.6924971,0.000579449,17.60024051
249,blank_hw_channel8_Trial7_prehw_10_30_20_O2,222.892906,-0.002733429,17.60156322
250,blank_amb_channel8_Trial8_prehw_10_30_20_O2,220.0789814,-0.001254897,17.51592593
251,blank_hw_channel10_Trial6_posthw_11_25_20_O2,196.8486283,-0.000394459,21.05637037
252,blank_hw_channel2_Trial1_posthw_11_24_20_O2,212.6738395,4.04E-06,21.11106061
253,blank_hw_channel2_trial5_final_12_12_20_O2,222.9090839,-4.80E-05,17.43338889
254,blank_hw_channel4_Trial2_posthw_11_24_20_O2,211.6718968,-0.000349782,21.10416049
255,blank_hw_channel6_trial1_final_12_11_20_O2,191.2246063,-9.85E-05,17.43641379
256,blank_hw_channel7_Trial5_posthw_11_25_20_O2,190.8150376,0.000101246,21.19061165
257,blank_hw_channel9_trial2_final_12_11_20_O2,222.4621714,-0.000339788,17.328