tank_ID,size_class ,diet_treatment,heatwave_treatment,initial_weight,final_weight,weight_loss,AFDW_biomass_per_tank
1,90,control,amb,39.5,34.32,5.18,0
1,60,control,amb,32,29.01,2.99,0
1,30,control,amb,24.99,23.5,1.49,0
2,90,control,amb,39.51,36.55,2.96,0
2,60,control,amb,32,30.08,1.92,0
2,30,control,amb,24.97,23.08,1.89,0
3,90,treatment,amb,39.51,22.08,17.43,38.159064
4,90,control ,amb,39.5,35.97,3.53,0
4,60,control ,amb,31.97,31.45,0.52,0
4,30,control ,amb,24.95,22.39,2.56,0
5,60,treatment,amb,32,18.24,13.76,15.180795
7,30,treatment,amb,24.98,20.45,4.53,3.71091
8,30,treatment,hw,25,22.91,2.09,1.82841
9,60,treatment,amb,31.98,21.08,10.9,16.382715
10,90,treatment,amb,39.48,25.11,14.37,36.616287
11,60,treatment,amb,32.03,18.42,13.61,16.557369
14,30,treatment,amb,25,19.31,5.69,3.847065
15,30,treatment,hw,24.94,20.56,4.38,4.341918
16,60,treatment,hw,32.03,18.17,13.86,13.882158
17,60,treatment,hw,31.97,23.18,8.79,5.174634
18,30,treatment,amb,25,16.63,8.37,4.374783
19,90,treatment,hw,39.5,13.23,26.27,38.320572
20,90,treatment,amb,39.47,21.01,18.46,39.79668