time,abalone_ID,size_class,status,treatment,tank_ID
17,4,30,2,hw,13
17,10,30,2,hw,13
23,11,30,2,hw,8
17,13,30,2,hw,13
17,15,30,2,hw,8
17,16,30,2,hw,13
17,28,30,2,hw,13
22,32,60,2,hw,17
21,38,60,2,hw,17
21,44,60,2,hw,12
21,45,60,2,hw,17
21,51,60,2,hw,12
21,53,60,2,hw,12
16,54,60,2,hw,12
21,58,60,2,hw,12
21,61,90,2,hw,4
17,65,90,2,hw,6
17,67,90,2,hw,6
21,72,90,2,hw,4
21,77,90,2,hw,6
21,78,90,2,hw,4
21,80,90,2,hw,4
21,86,90,2,hw,6
21,89,90,2,hw,4
17,90,90,2,hw,6
23,1,30,1,hw,8
23,2,30,1,hw,15
23,3,30,1,amb,7
23,5,30,1,amb,14
23,6,30,1,amb,18
23,7,30,1,amb,18
23,8,30,1,hw,15
23,9,30,1,amb,14
23,12,30,1,amb,18
23,14,30,1,amb,14
23,17,30,1,hw,15
23,18,30,1,amb,14
23,19,30,1,amb,7
23,20,30,1,hw,8
23,21,30,1,amb,7
23,22,30,1,hw,15
23,23,30,1,hw,8
23,24,30,1,hw,15
23,25,30,1,amb,14
23,26,30,1,amb,7
23,27,30,1,amb,7
23,29,30,1,amb,18
23,30,30,1,amb,18
23,31,60,1,amb,5
23,33,60,1,amb,9
23,34,60,1,amb,5
23,35,60,1,amb,11
23,36,60,1,amb,5
23,37,60,1,amb,9
23,39,60,1,hw,17
23,40,60,1,hw,16
23,41,60,1,hw,16
23,42,60,1,amb,5
23,43,60,1,hw,16
23,46,60,1,amb,9
23,47,60,1,amb,11
23,48,60,1,amb,9
23,49,60,1,amb,11
23,50,60,1,amb,9
23,52,60,1,hw,17
23,55,60,1,hw,16
23,56,60,1,amb,11
23,57,60,1,amb,11
23,59,60,1,amb,5
23,60,60,1,hw,16
23,62,90,1,amb,20
23,63,90,1,amb,10
23,64,90,1,amb,10
23,66,90,1,amb,3
23,68,90,1,amb,3
23,69,90,1,amb,3
23,70,90,1,hw,19
23,71,90,1,hw,19
23,73,90,1,amb,20
23,74,90,1,amb,3
23,75,90,1,hw,19
23,76,90,1,amb,3
23,79,90,1,amb,10
23,81,90,1,amb,10
23,82,90,1,hw,19
23,83,90,1,amb,20
23,84,90,1,hw,19
23,85,90,1,amb,20
23,87,90,1,amb,10
23,88,90,1,amb,20